티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
108320,LX세미콘,KOSPI,58432,6.4,1.57,14368,4.9,4500,16264300.0
006110,삼아알미늄,KOSPI,12540,62.15,7.75,1564,0.26,250,14711916.0
004000,롯데정밀화학,KOSPI,90075,10.4,0.66,5738,5.86,3500,25800000.0
145720,덴티움,KOSPI,43354,12.03,2.77,9980,0.25,300,11068830.0
002710,TCC스틸,KOSPI,8127,39.02,5.95,1239,0.25,120,26213697.0
298040,효성중공업,KOSPI,104660,169.55,1.78,1097,0.0,0,9324548.0
051600,한전KPS,KOSPI,27016,14.76,1.22,2226,3.97,1305,45000000.0
298020,효성티앤씨,KOSPI,283313,118.95,1.13,2686,3.13,10000,4327682.0
267270,HD현대건설기계,KOSPI,80387,11.29,0.86,6112,2.54,1750,19700793.0
007310,오뚜기,KOSPI,528433,4.57,0.7,80501,2.45,9000,4007830.0
000080,하이트진로,KOSPI,16906,15.52,1.15,1250,4.9,950,70133611.0
120110,코오롱인더,KOSPI,94856,8.51,0.53,5934,2.57,1300,27519091.0
001120,LX인터내셔널,KOSPI,62867,2.44,0.56,14325,8.58,3000,38760000.0
006280,녹십자,KOSPI,116367,20.24,1.0,5735,1.51,1750,11686538.0
069960,현대백화점,KOSPI,209760,9.87,0.31,6593,2.0,1300,23402441.0
137310,에스디바이오센서,KOSPI,28794,1.29,0.4,8997,8.53,990,104452353.0
139130,DGB금융지주,KOSPI,31812,3.23,0.23,2266,8.87,650,169145833.0
069620,대웅제약,KOSPI,54929,27.38,1.9,3816,0.57,600,11586575.0
006360,GS건설,KOSPI,56917,3.45,0.24,3997,9.42,1300,85581490.0
195870,해성디에스,KOSPI,26311,6.82,2.43,9376,1.41,900,17000000.0
093370,후성,KOSPI,3882,11.27,3.04,1047,0.17,20,94352104.0
375500,DL이앤씨,KOSPI,114397,2.96,0.26,10130,3.33,1000,38693623.0
192820,코스맥스,KOSPI,51220,76.17,2.73,1838,0.0,0,11349509.0
014820,동원시스템즈,KOSPI,25113,13.69,1.35,2472,1.77,600,28991282.0
005300,롯데칠성,KOSPI,150133,10.53,0.89,12754,2.46,3300,9278884.0
018670,SK가스,KOSPI,260823,4.3,0.47,28644,5.28,6500,9230244.0
285130,SK케미칼,KOSPI,124642,6.19,0.49,9910,2.45,1500,17253783.0
000240,한국앤컴퍼니,KOSPI,40622,7.09,0.31,1749,5.24,650,94935240.0
000670,영풍,KOSPI,2272640,2.45,0.23,213453,1.91,10000,1842040.0
009970,영원무역홀딩스,KOSPI,176464,2.08,0.45,37988,3.87,3050,13635592.0
103140,풍산,KOSPI,67365,5.33,0.51,6395,2.93,1000,28024278.0
010780,아이에스동서,KOSPI,46278,4.71,0.65,6426,0.0,0,30892606.0
009900,명신산업,KOSPI,7315,11.94,2.66,1633,0.0,0,52470133.0
185750,종근당,KOSPI,51191,13.03,1.69,6625,1.16,1000,12568464.0
003690,코리안리,KOSPI,22976,6.64,0.33,1132,5.72,430,140822939.0
089860,롯데렌탈,KOSPI,35333,10.42,0.76,2577,3.35,900,36634063.0
001430,세아베스틸지주,KOSPI,52580,8.92,0.44,2572,5.23,1200,35862119.0
069260,TKG휴켐스,KOSPI,19290,10.27,1.14,2132,4.57,1000,40878588.0
280360,롯데웰푸드,KOSPI,228909,17.35,0.47,6160,2.15,2300,9434574.0
178920,PI첨단소재,KOSPI,11627,18.46,2.47,1557,2.71,779,29366322.0
007340,DN오토모티브,KOSPI,101507,4.26,0.88,20987,2.79,2500,9994005.0
001800,오리온홀딩스,KOSPI,35982,8.83,0.42,1712,4.63,700,62645422.0
003230,삼양식품,KOSPI,60733,17.01,2.99,10665,0.77,1400,7533015.0
161000,애경케미칼,KOSPI,15115,12.75,1.05,1249,3.45,550,48648709.0
000210,DL,KOSPI,194062,14.07,0.19,2679,2.65,1000,20955884.0
090460,비에이치,KOSPI,17692,5.14,1.32,4551,1.07,250,34464379.0
003030,세아제강지주,KOSPI,372105,2.68,0.5,68897,1.22,2250,4141657.0
009450,경동나비엔,KOSPI,35820,13.95,1.44,3707,0.97,500,14568592.0
016380,KG스틸,KOSPI,16907,1.46,0.46,5357,1.92,150,100008897.0
