티커,BPS,PER,PBR,EPS,DIV,DPS
043150,23514,5.96,1.31,5176,0.32,100
323990,1438,0.0,15.99,0,0.0,0
267790,3865,0.0,1.81,0,0.0,0
046310,3002,12.13,1.17,289,0.0,0
331520,517,27.83,1.88,35,0.0,0
438700,2725,0.0,2.95,0,0.0,0
066410,1886,0.0,0.61,0,0.0,0
382900,12395,65.17,1.54,292,0.0,0
206400,2426,0.0,1.68,0,0.0,0
019010,7548,0.0,0.29,0,1.38,30
177350,2304,0.0,0.67,0,0.0,0
299910,0,0.0,0.0,0,0.0,0
424760,0,0.0,0.0,0,0.0,0
225530,2447,16.05,2.18,332,2.81,150
250000,11667,4.09,0.93,2644,2.77,300
310210,2291,0.0,15.84,0,0.0,0
006910,1651,0.0,1.72,0,0.0,0
226340,835,39.15,3.05,65,0.0,0
014470,3441,4.66,0.79,582,0.0,0
008470,9740,0.0,0.47,0,1.09,50
338220,1643,0.0,23.22,0,0.0,0
100120,22784,10.02,1.27,2890,2.42,700
406820,10616,20.66,2.12,1089,0.0,0
337930,2675,12.97,1.67,344,2.69,120
099390,5354,11.1,1.29,621,0.87,60
064480,4465,21.4,1.4,293,2.39,150
288330,2607,0.0,1.43,0,0.0,0
365900,6716,20.5,0.58,191,0.0,0
251630,6661,0.0,1.35,0,1.11,100
018290,2395,58.04,8.29,342,0.0,0
044480,873,0.0,1.33,0,0.0,0
033560,9397,0.0,0.35,0,0.0,0
369370,845,0.0,2.37,0,0.0,0
126340,10977,20.5,3.92,2098,0.0,0
121800,10366,0.0,0.32,0,0.0,0
148140,0,0.0,0.0,0,0.0,0
082800,452,0.0,1.5,0,0.0,0
318410,13154,45.98,0.64,184,2.36,200
419540,752,0.0,2.85,0,0.0,0
146320,5955,24.68,3.53,851,0.0,0
200780,9427,191.82,0.67,33,1.58,100
141000,14931,6.04,0.56,1382,1.8,150
083650,1898,0.0,3.77,0,0.0,0
445360,0,0.0,0.0,0,0.0,0
142760,690,0.0,2.42,0,0.0,0
065170,380,0.0,1.19,0,0.0,0
086670,11634,7.61,1.17,1784,1.47,200
335890,670,36.52,10.79,198,0.14,10
230980,329,0.0,2.1,0,0.0,0
138580,3070,30.24,4.86,493,0.0,0
082920,8768,16.35,2.03,1089,1.12,200
054220,374,0.0,1.35,0,0.0,0
042370,8197,31.5,0.95,247,0.64,50
050090,1128,0.0,0.95,0,0.0,0
307870,564,0.0,3.73,0,0.0,0
357880,3236,0.0,1.9,0,0.0,0
032850,3816,17.67,1.37,296,1.17,61
148780,379,0.0,2.53,0,0.0,0
238200,6417,27.67,0.82,189,0.0,0
093190,11015,8.66,0.53,674,6.85,400
065450,2130,0.0,2.12,0,0.0,0
210120,4735,27.77,3.15,537,0.0,0
072950,8591,15.43,0.5,278,3.92,168
143240,15673,7.34,1.24,2656,3.59,700
419120,7296,5.17,1.04,1469,2.37,180
122350,3011,0.0,0.71,0,0.0,0
419050,910,17.45,3.16,165,0.0,0
014970,3969,0.0,0.89,0,2.12,75
018310,33446,3.47,0.46,4457,0.65,100
053700,14119,4.71,0.39,1169,0.91,50
009620,535,0.0,2.9,0,0.0,0
023600,31370,2.45,0.27,3517,2.03,175
380320,0,0.0,0.0,0,0.0,0
377630,0,0.0,0.0,0,0.0,0
425290,0,0.0,0.0,0,0.0,0
439250,0,0.0,0.0,0,0.0,0
448740,0,0.0,0.0,0,0.0,0
009300,29593,8.19,0.54,1952,2.5,400
225190,3600,11.86,2.68,814,9.33,900
361670,4529,0.0,1.03,0,0.0,0
054540,5141,0.0,0.75,0,1.29,50
065570,3631,0.0,1.13,0,0.0,0
032280,3874,24.2,0.49,79,0.0,0
002290,5077,20.92,0.83,201,2.97,125
037460,20202,2.45,0.38,3133,5.87,450
032750,11498,22.94,0.47,235,1.48,80
054090,3746,0.0,0.46,0,0.0,0
000250,7873,256.98,8.65,265,0.0,0
024950,7719,0.0,0.83,0,0.0,0
038500,6403,11.3,0.5,281,2.83,90
017480,12264,4.85,0.41,1037,5.96,300
046390,1462,5.13,1.23,349,0.0,0
027580,1114,12.44,1.65,148,0.0,0
038540,13665,4.91,0.31,866,2.35,100
101000,612,0.0,3.53,0,0.0,0
415580,0,0.0,0.0,0,0.0,0
452670,0,0.0,0.0,0,0.0,0
091580,9077,8.46,1.7,1819,0.75,115
263810,2891,45.38,1.24,79,0.0,0
089980,11865,39.85,1.6,476,1.05,200
042940,613,0.0,0.81,0,0.0,0
042600,16261,3.64,1.65,7365,0.0,0
107600,12989,32.12,4.57,1846,0.51,300
411080,203,41.1,36.85,182,0.0,0
252990,2296,16.83,2.26,309,0.0,0
378800,1303,0.0,2.85,0,0.0,0
294630,370,0.0,11.23,0,0.0,0
038070,10044,7.31,0.83,1143,1.56,130
006730,11459,26.67,0.66,282,0.66,50
079650,3445,28.15,0.48,59,0.0,0
100660,5090,26.16,0.89,173,0.77,35
019770,6522,15.71,0.58,240,1.19,45
043710,601,0.0,1.13,0,0.0,0
092190,2110,0.0,1.72,0,0.0,0
046890,12504,0.0,0.84,0,2.1,220
063170,7375,37.11,1.36,270,1.0,100
027040,780,0.0,0.49,0,0.0,0
018680,3038,38.42,1.2,95,0.0,0
093920,10618,4.62,0.54,1235,7.01,400
189860,3515,0.0,1.27,0,0.0,0
178320,14358,410.47,1.23,43,0.0,0
122690,3973,8.91,0.8,357,0.0,0
140070,5292,4.28,0.59,733,1.59,50
011370,3928,2.35,0.23,390,5.45,50
065710,17842,8.53,1.06,2215,7.94,1500
035890,3361,3.08,0.42,454,3.22,45
357550,5512,62.11,8.94,793,0.0,0
003100,58858,6.93,0.3,2510,2.01,350
067370,1937,115.14,4.4,74,0.59,50
171090,9317,0.0,2.17,0,0.0,0
086710,5376,5.03,1.52,1620,0.25,20
014620,16891,9.74,0.81,1405,0.73,100
037350,18176,51.6,0.22,78,2.48,100
081580,7276,5.57,0.28,371,2.42,50
045300,7187,7.8,0.54,498,1.03,40
015750,14578,16.88,0.56,487,1.22,100
365340,24421,25.8,4.07,3856,0.0,0
080470,6008,15.08,0.81,321,1.45,70
043260,1685,0.0,0.94,0,0.0,0
148150,14689,8.07,0.77,1402,0.0,0
188260,0,0.0,0.0,0,0.0,0
053060,1631,2.83,1.23,709,0.0,0
340440,1029,23.0,1.77,79,0.0,0
017510,4901,18.48,0.56,148,2.56,70
011560,18328,3.61,0.46,2361,5.87,500
396300,2407,25.93,1.62,150,0.0,0
100700,2841,10.54,0.89,240,2.37,60
024830,29139,3.22,0.22,1949,0.4,25
258830,487,0.0,2.39,0,0.0,0
036630,1122,0.0,0.56,0,0.0,0
039310,4896,10.0,0.41,203,0.0,0
067770,5424,0.0,0.46,0,0.0,0
053450,7541,0.0,0.89,0,0.0,0
222810,552,0.0,3.81,0,0.0,0
252500,895,33.19,1.19,32,0.94,10
321370,648,0.0,6.33,0,0.0,0
347000,1302,101.5,2.34,30,0.0,0
331920,2277,0.0,1.41,0,0.0,0
049180,1292,0.0,2.02,0,0.0,0
299660,2105,0.0,1.89,0,0.0,0
268600,294,0.0,22.72,0,0.0,0
108860,2340,63.38,7.77,287,0.0,0
208370,1469,67.46,5.42,118,0.0,0
318160,0,0.0,0.0,0,0.0,0
068760,9049,101.21,7.37,659,0.0,0
091990,12795,73.6,5.25,913,0.19,130
068940,680,2.74,1.14,284,0.0,0
060230,3549,0.0,0.71,0,0.0,0
290690,5249,0.0,2.91,0,0.33,50
032680,721,4.82,0.82,122,0.0,0
032685,0,0.0,0.0,0,0.0,0
258790,697,39.92,2.12,37,0.0,0
066910,695,0.0,3.11,0,0.0,0
043100,441,0.0,1.05,0,0.0,0
035610,4825,0.0,0.83,0,0.0,0
357780,100423,11.4,2.38,20967,0.84,2000
036830,55592,10.94,0.61,3107,0.5,170
304100,4225,0.0,6.32,0,0.0,0
